"Table 5: Local Authority: Gross Domestic Product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
East Midlands,E07000037,High Peak,"1,056","1,083","1,098","1,134","1,180","1,234","1,286","1,346","1,363","1,382","1,419","1,321","1,364","1,447","1,517","1,493","1,556","1,634","1,704","1,761","1,814","1,807","1,713","1,906"
East Midlands,E07000039,South Derbyshire,"1,444","1,472","1,471","1,475","1,552","1,656","1,736","1,884","1,845","1,867","1,975","1,812","2,096","2,184","2,309","2,640","2,753","2,702","2,916","2,931","3,127","3,577","3,520","3,620"
East Midlands,E06000018,Nottingham,"4,901","5,115","5,191","5,502","5,826","6,215","6,796","7,165","7,662","7,932","8,166","8,072","8,426","8,788","9,107","9,273","9,885","10,099","10,445","10,903","11,147","11,346","11,043","11,818"
East Midlands,E07000170,Ashfield,"1,924","1,925","1,947","1,994","2,074","2,095","2,212","2,323","2,418","2,518","2,570","2,487","2,593","2,621","2,684","2,812","2,889","2,949","3,006","3,050","3,153","3,271","3,063","3,439"
East Midlands,E07000171,Bassetlaw,"1,377","1,457","1,491","1,527","1,610","1,681","1,769","1,835","1,899","1,954","1,990","1,947","2,040","2,102","2,198","2,270","2,301","2,388","2,465","2,501","2,597","2,729","2,682","2,921"
East Midlands,E07000174,Mansfield,960,"1,004","1,016","1,053","1,101","1,164","1,242","1,316","1,373","1,425","1,447","1,383","1,435","1,499","1,553","1,568","1,641","1,721","1,777","1,826","1,940","2,044","1,971","2,125"
East Midlands,E07000175,Newark and Sherwood,"1,434","1,517","1,565","1,587","1,664","1,759","1,814","1,906","1,995","2,058","2,107","2,060","2,135","2,267","2,351","2,419","2,427","2,585","2,692","2,823","2,880","2,992","2,828","3,121"
East Midlands,E07000172,Broxtowe,"1,444","1,496","1,483","1,490","1,569","1,626","1,700","1,822","1,892","1,950","1,965","1,967","2,051","2,131","2,234","2,319","2,302","2,391","2,494","2,523","2,548","2,401","2,359","2,588"
East Midlands,E07000173,Gedling,"1,024","1,055","1,066","1,116","1,158","1,189","1,235","1,296","1,350","1,401","1,439","1,380","1,430","1,479","1,572","1,589","1,619","1,708","1,774","1,814","1,846","1,915","1,873","2,070"
East Midlands,E07000176,Rushcliffe,"1,417","1,500","1,549","1,638","1,656","1,699","1,819","1,914","1,993","2,124","2,230","2,145","2,227","2,232","2,303","2,458","2,530","2,613","2,640","2,762","3,170","3,502","3,380","3,644"
East Midlands,E06000016,Leicester,"4,231","4,364","4,585","4,705","4,844","5,185","5,556","5,812","6,228","6,569","6,756","6,687","7,044","7,220","7,434","7,777","8,360","8,685","9,048","9,167","9,517","9,887","9,477","10,193"
East Midlands,E06000017,Rutland,531,551,591,609,627,657,684,711,751,771,810,775,825,813,819,825,860,899,945,931,954,936,929,"1,022"
East Midlands,E07000129,Blaby,"1,641","1,642","1,760","1,788","1,881","2,034","2,298","2,412","2,607","2,803","2,959","3,095","3,109","2,971","3,204","3,536","3,710","3,836","3,776","3,929","3,996","4,022","3,495","4,073"
East Midlands,E07000130,Charnwood,"2,109","2,189","2,322","2,515","2,624","2,776","2,914","3,039","3,172","3,228","3,407","3,256","3,380","3,357","3,400","3,324","3,465","3,617","3,847","3,997","4,107","4,127","4,044","4,358"
East Midlands,E07000131,Harborough,"1,171","1,224","1,275","1,287","1,349","1,457","1,497","1,569","1,681","1,781","1,822","1,724","1,837","1,833","1,876","1,918","2,086","2,184","2,227","2,336","2,387","2,488","2,388","2,412"
East Midlands,E07000132,Hinckley and Bosworth,"1,336","1,358","1,450","1,495","1,535","1,627","1,684","1,735","1,893","1,995","2,110","1,938","2,099","2,125","2,186","2,312","2,440","2,470","2,517","2,664","2,708","2,763","2,666","2,975"
East Midlands,E07000133,Melton,704,718,744,758,796,821,841,846,914,965,"1,008","1,014","1,065","1,056","1,072","1,104","1,105","1,231","1,278","1,291","1,365","1,423","1,312","1,378"
East Midlands,E07000134,North West Leicestershire,"1,855","1,893","1,985","2,016","2,116","2,299","2,369","2,476","2,644","2,809","2,855","2,709","2,910","2,886","2,979","3,244","3,368","3,435","3,667","3,741","4,066","4,153","3,768","4,075"
East Midlands,E07000135,Oadby and Wigston,549,570,592,611,625,665,695,710,752,778,811,785,826,826,846,877,884,893,932,928,963,987,931,"1,008"
East Midlands,E06000062,West Northamptonshire,"6,023","6,152","6,579","6,782","7,014","7,358","7,726","8,113","8,799","9,325","9,518","9,216","9,703","9,902","9,998","10,711","11,173","11,621","12,125","12,838","13,635","14,047","13,358","14,664"
East Midlands,E06000061,North Northamptonshire,"4,076","4,203","4,394","4,478","4,527","4,822","5,034","5,204","5,463","5,745","5,950","5,685","6,046","6,037","6,346","6,606","6,928","7,182","7,427","7,640","8,012","8,211","7,846","8,482"
East Midlands,E07000136,Boston,746,754,801,870,913,966,949,999,"1,042","1,099","1,145","1,108","1,147","1,207","1,240","1,328","1,416","1,432","1,476","1,560","1,632","1,676","1,539","1,656"
East Midlands,E07000137,East Lindsey,"1,371","1,402","1,479","1,576","1,682","1,751","1,751","1,822","1,949","1,987","2,096","2,009","2,094","2,207","2,256","2,361","2,416","2,464","2,501","2,642","2,688","2,859","2,540","2,855"
East Midlands,E07000138,Lincoln,"1,359","1,396","1,426","1,525","1,624","1,765","1,781","1,876","2,045","2,171","2,313","2,274","2,327","2,359","2,378","2,516","2,594","2,751","2,774","2,869","3,018","3,114","2,898","3,139"
East Midlands,E07000139,North Kesteven,"1,349","1,393","1,452","1,559","1,659","1,740","1,719","1,786","1,927","2,010","2,096","2,012","2,074","2,121","2,232","2,353","2,461","2,491","2,491","2,726","2,917","3,088","2,946","3,200"
East Midlands,E07000140,South Holland,"1,134","1,159","1,222","1,318","1,350","1,409","1,356","1,410","1,488","1,570","1,613","1,575","1,621","1,670","1,762","1,880","1,950","1,981","2,086","2,269","2,391","2,440","2,363","2,607"
East Midlands,E07000141,South Kesteven,"1,611","1,645","1,713","1,855","1,951","2,090","2,097","2,187","2,308","2,452","2,568","2,459","2,576","2,596","2,737","2,843","2,932","2,931","2,955","3,173","3,251","3,368","3,125","3,331"
East Midlands,E07000142,West Lindsey,837,845,941,971,"1,028","1,082","1,075","1,109","1,173","1,213","1,297","1,220","1,269","1,307","1,361","1,483","1,561","1,587","1,584","1,657","1,767","1,931","1,823","2,036"
West Midlands,E06000019,"Herefordshire, County of","2,397","2,528","2,655","2,689","2,825","2,913","2,900","2,990","3,102","3,186","3,357","3,219","3,292","3,476","3,595","3,771","3,969","4,080","4,161","4,347","4,547","4,737","4,412","4,729"
West Midlands,E07000234,Bromsgrove,"1,480","1,538","1,629","1,642","1,640","1,761","1,924","2,042","2,246","2,034","2,183","2,312","2,378","2,510","2,708","2,802","2,835","2,698","2,835","3,182","3,235","3,286","3,150","3,204"
West Midlands,E07000235,Malvern Hills,927,991,"1,025","1,075","1,172","1,209","1,256","1,267","1,320","1,366","1,417","1,370","1,464","1,543","1,549","1,561","1,641","1,646","1,692","1,760","1,877","2,028","1,855","1,907"
West Midlands,E07000236,Redditch,"1,123","1,167","1,209","1,220","1,236","1,301","1,383","1,414","1,495","1,524","1,586","1,525","1,604","1,695","1,785","1,948","2,160","2,293","2,359","2,523","2,505","2,463","2,217","2,309"
West Midlands,E07000237,Worcester,"1,608","1,682","1,763","1,785","1,839","1,987","2,106","2,157","2,296","2,353","2,422","2,376","2,470","2,585","2,855","3,053","3,153","3,264","3,070","3,236","3,345","3,437","3,347","3,539"
West Midlands,E07000238,Wychavon,"1,578","1,676","1,759","1,810","1,818","1,935","2,023","2,066","2,191","2,253","2,351","2,229","2,303","2,462","2,580","2,635","2,819","2,954","3,047","3,221","3,386","3,570","3,462","3,632"
West Midlands,E07000239,Wyre Forest,987,"1,033","1,066","1,083","1,109","1,178","1,227","1,269","1,331","1,367","1,401","1,336","1,372","1,437","1,484","1,520","1,586","1,586","1,652","1,714","1,778","1,842","1,716","1,846"
West Midlands,E07000218,North Warwickshire,"1,499","1,616","1,671","1,666","1,703","1,787","1,849","1,926","2,033","2,039","2,062","1,990","2,120","2,206","2,388","2,520","2,602","2,766","2,720","3,030","3,343","3,340","3,037","3,362"
West Midlands,E07000219,Nuneaton and Bedworth,"1,121","1,187","1,231","1,259","1,280","1,344","1,416","1,469","1,547","1,585","1,646","1,563","1,623","1,724","1,831","1,999","2,151","2,207","2,201","2,393","2,502","2,614","2,439","2,622"
West Midlands,E07000220,Rugby,"1,558","1,692","1,759","1,807","1,867","1,970","2,131","2,193","2,315","2,391","2,481","2,321","2,441","2,556","2,662","2,730","2,859","3,024","3,206","3,394","3,373","3,307","3,116","3,406"
West Midlands,E07000221,Stratford-on-Avon,"2,106","2,290","2,453","2,484","2,559","2,603","2,657","2,969","3,158","3,247","3,396","3,156","3,392","3,585","3,806","4,197","4,351","4,578","4,818","5,476","5,628","5,620","4,972","5,341"
