"Road length (kilometres) by road type and local authority in Great Britain, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0201a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes are used throughout this table, please see the notes tab to find the related notes text",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Values in this table may not sum due to rounding,,,,,,,,,,,,,Kilometres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ONS Area 
Code",Region,Local Authority,Trunk motorways,Principal motorways,All motorways,Trunk rural 'A' roads,Trunk urban 'A' roads,Principal rural 'A' roads,Principal urban 'A' roads,All 'A' roads,Rural 'B' roads,Urban 'B' roads,Rural 'C' and 'U' roads,Urban 'C' and 'U' roads,All minor roads,Major trunk roads,Major principal roads,Minor roads,Total road length ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000002,North West,Bury,21.1,0.0,21.1,0.0,0.0,11.1,44.5,55.6,6.9,25.7,52.7,520.3,605.5,21.1,55.6,605.5,682.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000003,North West,Manchester,15.9,3.7,19.6,0.8,1.4,3.9,112.0,118.1,1.8,36.7,7.8,"1,207.7","1,254.0",18.1,119.6,"1,254.0","1,391.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000004,North West,Oldham ,8.3,0.0,8.3,0.1,4.4,34.7,60.1,99.3,7.7,25.8,70.1,617.7,721.2,12.8,94.8,721.2,828.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000005,North West,Rochdale,25.8,0.0,25.8,0.0,0.0,23.1,60.0,83.1,7.0,17.7,65.7,591.3,681.8,25.8,83.1,681.8,790.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000006,North West,Salford,28.0,0.0,28.0,0.0,0.0,13.2,76.8,90.0,0.4,32.2,26.3,636.5,695.5,28.0,90.0,695.5,813.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000007,North West,Stockport,12.9,0.0,12.9,0.0,0.0,20.8,72.9,93.7,4.5,34.7,58.0,803.8,901.1,12.9,93.7,901.1,"1,007.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000008,North West,Tameside,15.3,0.0,15.3,0.6,2.7,8.5,55.0,66.8,2.4,29.2,38.4,618.9,688.9,18.6,63.5,688.9,771.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000009,North West,Trafford,10.0,0.0,10.0,0.0,0.0,11.0,48.9,59.9,9.5,41.9,40.5,642.9,734.8,10.0,59.9,734.8,804.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000010,North West,Wigan,19.2,0.0,19.2,0.0,0.0,32.3,90.6,122.9,18.5,37.0,111.4,867.0,"1,033.9",19.2,122.9,"1,033.9","1,176.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E10000017,North West,Lancashire ,154.8,12.5,167.3,25.9,10.4,455.2,226.2,717.7,313.6,150.2,"2,883.6","2,856.7","6,204.0",191.1,693.9,"6,204.0","7,089.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
